;average_qli;ALTERNATIVE0;FPM_DISTRIBUTION;siglas;gdp_index;unemployment;num_mun_na_acp;firms_profit;average_workers;inflation
128;0.8104;True;False;RIO PRETO;11558.958999999999;2.99;5;328.281;38.074;0.0066
129;0.8352;False;True;RIO PRETO;10150.334;3.128;5;-365.774;38.042;0.004
130;0.8176;True;True;RIO PRETO;10829.729;3.359;5;19.027;37.995;0.0066
131;0.8223;False;False;RIO PRETO;11099.948;3.2119999999999997;5;-655.7819999999998;38.09;0.0085
132;0.7982;True;True;SJC;34367.873999999996;1.97;6;1107.2839999999999;62.467;0.0032
133;0.7977;False;False;SJC;32852.322;2.0669999999999997;6;-247.62099999999998;62.408;0.0027
134;0.8054;False;True;SJC;34805.751000000004;2.017;6;2320.957000000001;62.236999999999995;0.004
135;0.7904;True;False;SJC;34274.718;1.973;6;2141.16;62.398999999999994;0.0031
136;0.5737;True;False;SAO LUIS;20881.078;11.225;4;2804.659;106.67299999999999;0.0
137;0.6209;False;False;SAO LUIS;20663.745;11.325;4;1303.888;106.242;0.0
138;0.6128;True;True;SAO LUIS;21486.272999999997;11.36;4;2806.163;106.194;0.0
139;0.6201;False;True;SAO LUIS;21365.141;11.216;4;3310.1209999999996;106.133;0.0
140;0.7676;False;False;SP;242174.333;2.082;47;8434.81;58.623999999999995;0.0026
141;0.7545;True;False;SP;241831.25600000002;2.085;47;6607.35;58.602;0.0017
142;0.7916;True;True;SP;249886.016;2.0709999999999997;47;10957.471000000001;58.608999999999995;0.0017
143;0.7959999999999999;False;True;SP;244166.937;2.08;47;8812.803;58.648;0.0022
144;0.7625;False;False;SOROCABA;26417.78200000001;2.18;9;626.526;59.761;0.0023
145;0.7686;False;True;SOROCABA;26126.825;2.255;9;975.51;59.507;0.002
146;0.7609999999999999;True;False;SOROCABA;24896.936;2.13;9;204.995;59.56399999999999;0.0032
147;0.772;True;True;SOROCABA;26293.322999999997;2.21;9;-181.827;59.57100000000001;0.0029
148;0.7289;False;False;VITORIA;38323.629;2.699;6;731.6510000000003;50.838;0.0024
149;0.7292;True;True;VITORIA;39775.53;2.659;6;1303.886;50.88800000000001;0.0032
150;0.732;True;False;VITORIA;43067.275;2.57;6;1284.155;50.833999999999996;0.0029
151;0.733;False;True;VITORIA;42331.437999999995;2.546;6;-74.47;50.871;0.0035
152;0.7541;True;True;V. REDONDA;15670.581;2.076;5;6.899;67.419;0.0
153;0.7495;False;False;V. REDONDA;16568.218;2.198;5;-413.43;67.456;0.0011
154;0.7414;False;True;V. REDONDA;15450.083;1.8969999999999998;5;179.87599999999995;67.331;0.001
155;0.7316;True;False;V. REDONDA;15103.362;2.019;5;344.265;67.368;0.002
